row;NCIt Code;NCIt PT;NCIt Definition;CTCAE PT;CTCAE 5.0 Definition;MedDRA Term;MedDRA Code;MedDRA TermType;MedDRA Version
116;C143380;Conduction Disorder, CTCAE;A disorder characterized by pathological irregularities in the cardiac conduction system.;Conduction disorder;A disorder characterized by pathological irregularities in the cardiac conduction system.;Conduction disorder;10010276;LLT;20,1
117;C144039;Grade 1 Conduction Disorder, CTCAE;"Mild symptoms; intervention not indicated";Grade 1 Conduction disorder;"Mild symptoms; intervention not indicated";Conduction disorder;10010276;LLT;20,1
118;C144588;Grade 2 Conduction Disorder, CTCAE;Non-urgent medical intervention indicated;Grade 2 Conduction disorder;Non-urgent medical intervention indicated;Conduction disorder;10010276;LLT;20,1
119;C145205;Grade 3 Conduction Disorder, CTCAE;Symptomatic, urgent intervention indicated;Grade 3 Conduction disorder;Symptomatic, urgent intervention indicated;Conduction disorder;10010276;LLT;20,1
120;C145801;Grade 4 Conduction Disorder, CTCAE;Life-threatening consequences;Grade 4 Conduction disorder;Life-threatening consequences;Conduction disorder;10010276;LLT;20,1
121;C146266;Grade 5 Conduction Disorder, CTCAE;Death;Grade 5 Conduction disorder;Death;Conduction disorder;10010276;LLT;20,1
122;C143192;Cyanosis, CTCAE;A disorder characterized by a bluish discoloration of the skin and/or mucous membranes.;Cyanosis;A disorder characterized by a bluish discoloration of the skin and/or mucous membranes.;Cyanosis;10011703;LLT;20,1
123;C144596;Grade 2 Cyanosis, CTCAE;Present;Grade 2 Cyanosis;Present;Cyanosis;10011703;LLT;20,1
124;C143529;Heart Failure, CTCAE;A disorder characterized by the inability of the heart to pump blood at an adequate volume to meet tissue metabolic requirements, or, the ability to do so only at an elevation in the filling pressure.;Heart failure;A disorder characterized by the inability of the heart to pump blood at an adequate volume to meet tissue metabolic requirements, or, the ability to do so only at an elevation in the filling pressure.;Heart failure;10019279;LLT;20,1
125;C144145;Grade 1 Heart Failure, CTCAE;Asymptomatic with laboratory (e.g., BNP [B-Natriuretic Peptide ]) or cardiac imaging abnormalities;Grade 1 Heart failure;Asymptomatic with laboratory (e.g., BNP [B-Natriuretic Peptide ]) or cardiac imaging abnormalities;Heart failure;10019279;LLT;20,1
126;C144706;Grade 2 Heart Failure, CTCAE;Symptoms with moderate activity or exertion;Grade 2 Heart failure;Symptoms with moderate activity or exertion;Heart failure;10019279;LLT;20,1
127;C145326;Grade 3 Heart Failure, CTCAE;"Symptoms at rest or with minimal activity or exertion; hospitalization; new onset of symptoms";Grade 3 Heart failure;"Symptoms at rest or with minimal activity or exertion; hospitalization; new onset of symptoms";Heart failure;10019279;LLT;20,1
128;C145884;Grade 4 Heart Failure, CTCAE;"Life-threatening consequences; urgent intervention indicated (e.g., continuous IV therapy or mechanical hemodynamic support)";Grade 4 Heart failure;"Life-threatening consequences; urgent intervention indicated (e.g., continuous IV therapy or mechanical hemodynamic support)";Heart failure;10019279;LLT;20,1
129;C146333;Grade 5 Heart Failure, CTCAE;Death;Grade 5 Heart failure;Death;Heart failure;10019279;LLT;20,1
130;C146719;Left Ventricular Systolic Dysfunction, CTCAE 5.0;A disorder characterized by failure of the left ventricle to produce adequate output.;Left ventricular systolic dysfunction;A disorder characterized by failure of the left ventricle to produce adequate output.;Left ventricular systolic dysfunction;10069501;LLT;20,1
131;C55023;Grade 3 Left Ventricular Systolic Dysfunction, CTCAE;Symptomatic due to drop in ejection fraction responsive to intervention;Grade 3 Left ventricular systolic dysfunction;Symptomatic due to drop in ejection fraction responsive to intervention;Left ventricular systolic dysfunction;10069501;LLT;20,1
132;C55037;Grade 4 Left Ventricular Systolic Dysfunction, CTCAE;"Refractory or poorly controlled heart failure due to drop in ejection fraction; intervention such as ventricular assist device, intravenous vasopressor support, or heart transplant indicated";Grade 4 Left ventricular systolic dysfunction;"Refractory or poorly controlled heart failure due to drop in ejection fraction; intervention such as ventricular assist device, intravenous vasopressor support, or heart transplant indicated";Left ventricular systolic dysfunction;10069501;LLT;20,1
133;C55051;Grade 5 Left Ventricular Systolic Dysfunction, CTCAE;Death;Grade 5 Left ventricular systolic dysfunction;Death;Left ventricular systolic dysfunction;10069501;LLT;20,1
134;C143674;Mitral Valve Disease, CTCAE;A disorder characterized by a defect in mitral valve function or structure.;Mitral valve disease;A disorder characterized by a defect in mitral valve function or structure.;Mitral valve disease;10061532;LLT;20,1
135;C144263;Grade 1 Mitral Valve Disease, CTCAE;Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging;Grade 1 Mitral valve disease;Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging;Mitral valve disease;10061532;LLT;20,1
136;C144840;Grade 2 Mitral Valve Disease, CTCAE;"Asymptomatic; moderate regurgitation or stenosis by imaging";Grade 2 Mitral valve disease;"Asymptomatic; moderate regurgitation or stenosis by imaging";Mitral valve disease;10061532;LLT;20,1
137;C145462;Grade 3 Mitral Valve Disease, CTCAE;"Symptomatic; severe regurgitation or stenosis by imaging; symptoms controlled with medical intervention";Grade 3 Mitral valve disease;"Symptomatic; severe regurgitation or stenosis by imaging; symptoms controlled with medical intervention";Mitral valve disease;10061532;LLT;20,1
138;C145998;Grade 4 Mitral Valve Disease, CTCAE;"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)";Grade 4 Mitral valve disease;"Life-threatening consequences; urgent intervention indicated (e.g., valve replacement, valvuloplasty)";Mitral valve disease;10061532;LLT;20,1
139;C146443;Grade 5 Mitral Valve Disease, CTCAE;Death;Grade 5 Mitral valve disease;Death;Mitral valve disease;10061532;LLT;20,1
140;C143691;Myocardial Infarction, CTCAE;"A disorder characterized by gross necrosis of the myocardium; this is due to an interruption of blood supply to the area.";Myocardial infarction;"A disorder characterized by gross necrosis of the myocardium; this is due to an interruption of blood supply to the area.";Myocardial infarction;10028596;LLT;20,1
141;C144856;Grade 2 Myocardial Infarction, CTCAE;Asymptomatic and cardiac enzymes minimally abnormal and no evidence of ischemic ECG changes;Grade 2 Myocardial infarction;Asymptomatic and cardiac enzymes minimally abnormal and no evidence of ischemic ECG changes;Myocardial infarction;10028596;LLT;20,1
142;C145479;Grade 3 Myocardial Infarction, CTCAE;"Severe symptoms; cardiac enzymes abnormal; hemodynamically stable; ECG changes consistent with infarction";Grade 3 Myocardial infarction;"Severe symptoms; cardiac enzymes abnormal; hemodynamically stable; ECG changes consistent with infarction";Myocardial infarction;10028596;LLT;20,1
143;C146007;Grade 4 Myocardial Infarction, CTCAE;"Life-threatening consequences; hemodynamically unstable";Grade 4 Myocardial infarction;"Life-threatening consequences; hemodynamically unstable";Myocardial infarction;10028596;LLT;20,1
144;C146452;Grade 5 Myocardial Infarction, CTCAE;Death;Grade 5 Myocardial infarction;Death;Myocardial infarction;10028596;LLT;20,1
145;C146695;Myocarditis, CTCAE 5.0;A disorder characterized by inflammation of the muscle tissue of the heart.;Myocarditis;A disorder characterized by inflammation of the muscle tissue of the heart.;Myocarditis;10028606;LLT;20,1
146;C144857;Grade 2 Myocarditis, CTCAE;Symptoms with moderate activity or exertion;Grade 2 Myocarditis;Symptoms with moderate activity or exertion;Myocarditis;10028606;LLT;20,1
147;C55024;Grade 3 Myocarditis, CTCAE;"Severe with symptoms at rest or with minimal activity or exertion; intervention indicated; new onset of symptoms";Grade 3 Myocarditis;"Severe with symptoms at rest or with minimal activity or exertion; intervention indicated; new onset of symptoms";Myocarditis;10028606;LLT;20,1
148;C55038;Grade 4 Myocarditis, CTCAE;"Life-threatening consequences; urgent intervention indicated (e.g., continuous IV therapy or mechanical hemodynamic support)";Grade 4 Myocarditis;"Life-threatening consequences; urgent intervention indicated (e.g., continuous IV therapy or mechanical hemodynamic support)";Myocarditis;10028606;LLT;20,1
149;C55052;Grade 5 Myocarditis, CTCAE;Death;Grade 5 Myocarditis;Death;Myocarditis;10028606;LLT;20,1
150;C54935;Palpitations, CTCAE;A disorder characterized by an unpleasant sensation of irregular and/or forceful beating of the heart.;Palpitations;A disorder characterized by an unpleasant sensation of irregular and/or forceful beating of the heart.;Palpitations;10033557;LLT;20,1
151;C54790;Grade 1 Palpitations, CTCAE;"Mild symptoms; intervention not indicated";Grade 1 Palpitations;"Mild symptoms; intervention not indicated";Palpitations;10033557;LLT;20,1
152;C54821;Grade 2 Palpitations, CTCAE;Intervention indicated;Grade 2 Palpitations;Intervention indicated;Palpitations;10033557;LLT;20,1
153;C143738;Paroxysmal Atrial Tachycardia, CTCAE;A disorder characterized by a dysrhythmia with abrupt onset and sudden termination of atrial contractions with a rate of 150-250 beats per minute. The rhythm disturbance originates in the atria.;Paroxysmal atrial tachycardia;A disorder characterized by a dysrhythmia with abrupt onset and sudden termination of atrial contractions with a rate of 150-250 beats per minute. The rhythm disturbance originates in the atria.;Paroxysmal atrial tachycardia;10034040;LLT;20,1
154;C144320;Grade 1 Paroxysmal Atrial Tachycardia, CTCAE;Asymptomatic, intervention not indicated;Grade 1 Paroxysmal atrial tachycardia;Asymptomatic, intervention not indicated;Paroxysmal atrial tachycardia;10034040;LLT;20,1
155;C144899;Grade 2 Paroxysmal Atrial Tachycardia, CTCAE;Non-urgent medical intervention indicated;Grade 2 Paroxysmal atrial tachycardia;Non-urgent medical intervention indicated;Paroxysmal atrial tachycardia;10034040;LLT;20,1
156;C145521;Grade 3 Paroxysmal Atrial Tachycardia, CTCAE;"Symptomatic, urgent intervention indicated; ablation";Grade 3 Paroxysmal atrial tachycardia;"Symptomatic, urgent intervention indicated; ablation";Paroxysmal atrial tachycardia;10034040;LLT;20,1
157;C146033;Grade 4 Paroxysmal Atrial Tachycardia, CTCAE;"Life-threatening consequences; incompletely controlled medically; cardioversion indicated";Grade 4 Paroxysmal atrial tachycardia;"Life-threatening consequences; incompletely controlled medically; cardioversion indicated";Paroxysmal atrial tachycardia;10034040;LLT;20,1
158;C146473;Grade 5 Paroxysmal Atrial Tachycardia, CTCAE;Death;Grade 5 Paroxysmal atrial tachycardia;Death;Paroxysmal atrial tachycardia;10034040;LLT;20,1
159;C143743;Pericardial Effusion, CTCAE;A disorder characterized by fluid collection within the pericardial sac, usually due to inflammation.;Pericardial effusion;A disorder characterized by fluid collection within the pericardial sac, usually due to inflammation.;Pericardial effusion;10034474;LLT;20,1
160;C144905;Grade 2 Pericardial Effusion, CTCAE;Asymptomatic effusion size small to moderate;Grade 2 Pericardial effusion;Asymptomatic effusion size small to moderate;Pericardial effusion;10034474;LLT;20,1
161;C145528;Grade 3 Pericardial Effusion, CTCAE;Effusion with physiologic consequences;Grade 3 Pericardial effusion;Effusion with physiologic consequences;Pericardial effusion;10034474;LLT;20,1
162;C146037;Grade 4 Pericardial Effusion, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Pericardial effusion;"Life-threatening consequences; urgent intervention indicated";Pericardial effusion;10034474;LLT;20,1
163;C146477;Grade 5 Pericardial Effusion, CTCAE;Death;Grade 5 Pericardial effusion;Death;Pericardial effusion;10034474;LLT;20,1
164;C143744;Pericardial Tamponade, CTCAE;A disorder characterized by an increase in intrapericardial pressure due to the collection of blood or fluid in the pericardium.;Pericardial tamponade;A disorder characterized by an increase in intrapericardial pressure due to the collection of blood or fluid in the pericardium.;Pericardial tamponade;10053565;LLT;20,1
165;C146038;Grade 4 Pericardial Tamponade, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Pericardial tamponade;"Life-threatening consequences; urgent intervention indicated";Pericardial tamponade;10053565;LLT;20,1
166;C146478;Grade 5 Pericardial Tamponade, CTCAE;Death;Grade 5 Pericardial tamponade;Death;Pericardial tamponade;10053565;LLT;20,1
167;C55067;Pericarditis, CTCAE;A disorder characterized by irritation to the layers of the pericardium (the protective sac around the heart).;Pericarditis;A disorder characterized by irritation to the layers of the pericardium (the protective sac around the heart).;Pericarditis;10034484;LLT;20,1
168;C55001;Grade 1 Pericarditis, CTCAE;Asymptomatic, ECG or physical findings (e.g., rub) consistent with pericarditis;Grade 1 Pericarditis;Asymptomatic, ECG or physical findings (e.g., rub) consistent with pericarditis;Pericarditis;10034484;LLT;20,1
169;C55012;Grade 2 Pericarditis, CTCAE;Symptomatic pericarditis (e.g., chest pain);Grade 2 Pericarditis;Symptomatic pericarditis (e.g., chest pain);Pericarditis;10034484;LLT;20,1
170;C55026;Grade 3 Pericarditis, CTCAE;Pericarditis with physiologic consequences (e.g., pericardial constriction);Grade 3 Pericarditis;Pericarditis with physiologic consequences (e.g., pericardial constriction);Pericarditis;10034484;LLT;20,1
171;C55040;Grade 4 Pericarditis, CTCAE;"Life-threatening consequences; urgent intervention indicated";Grade 4 Pericarditis;"Life-threatening consequences; urgent intervention indicated";Pericarditis;10034484;LLT;20,1
172;C55054;Grade 5 Pericarditis, CTCAE;Death;Grade 5 Pericarditis;Death;Pericarditis;10034484;LLT;20,1
173;C143793;Pulmonary Valve Disease, CTCAE;A disorder characterized by a defect in pulmonary valve function or structure.;Pulmonary valve disease;A disorder characterized by a defect in pulmonary valve function or structure.;Pulmonary valve disease;10061541;LLT;20,1
174;C144359;Grade 1 Pulmonary Valve Disease, CTCAE;Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging;Grade 1 Pulmonary valve disease;Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis by imaging;Pulmonary valve disease;10061541;LLT;20,1
175;C144951;Grade 2 Pulmonary Valve Disease, CTCAE;"Asymptomatic; moderate regurgitation or stenosis by imaging";Grade 2 Pulmonary valve disease;"Asymptomatic; moderate regurgitation or stenosis by imaging";Pulmonary valve disease;10061541;LLT;20,1
